no,dish_name,description,ingredients,instructions
1,Fish Amok,"Often considered Cambodia's national dish, Fish Amok is a culinary masterpiece of steamed, curried fish. The dish is aromatic, with a silky texture that comes from a blend of kroeung, a traditional Khmer paste, and coconut cream. It's steamed slowly to achieve a delicate mousse-like consistency and is typically made with freshwater fish, which is abundant in Cambodia due to the Tonle Sap Lake and Mekong River. The harmonious mix of lemongrass, galangal, and turmeric in the kroeung imparts a unique taste and a golden color to the dish, embodying the soul of Cambodian cuisine.","500g white fish fillets; 2 cups coconut milk; 1 tbsp fish sauce; 1 tsp sugar; Kroeung paste (lemongrass, galangal, turmeric, garlic, shallots); 2 kaffir lime leaves, finely sliced; 1 egg; Salt to taste; Banana leaves (for steaming)","1. Prepare the kroeung paste by blending the lemongrass, galangal, turmeric, garlic, and shallots into a smooth paste. | 2. In a bowl, combine fish fillets with kroeung paste, coconut milk, fish sauce, sugar, kaffir lime leaves, and egg. | 3. Season with salt. | 4. Spoon the mixture into banana leaf cups. | 5. Steam for about 20 minutes until the curry is firm and fragrant. | Serving: Serve with rice and garnish with a slice of red bell pepper or chili for color contrast."
2,Beef Lok Lak,"This dish is a delightful example of Cambodian stir-fry, featuring tender beef cubes that have been marinated in a tangy mixture that includes oyster sauce and soy sauce, delivering layers of savory and slightly sweet flavors. It reflects the historical influence of French cuisine in Cambodia, as the dish is often accompanied by a side of fresh lettuce, tomatoes, and onions, with a dipping sauce on the side and sometimes a fried egg on top. The beef is typically served on a bed of rice, which soaks up the rich, peppery sauce, creating a meal that is satisfying and full of contrasting textures.","500g beef sirloin, cut into cubes; 3 tbsp oyster sauce; 2 tbsp soy sauce; 1 tbsp sugar; 2 cloves garlic, minced; 1 tsp black pepper; Lettuce and tomato for serving; Cooking oil","1. Marinate beef with oyster sauce, soy sauce, sugar, garlic, and black pepper for 30 minutes. | 2. Heat oil in a pan and stir-fry the beef until cooked to your preference. | 3. Serve the beef on a bed of lettuce and tomato slices. | Serving: Top with a fried egg and enjoy with rice and a simple dipping sauce made from lime juice, pepper, and salt."
3,Khmer Red Curry,"Unlike the fiery Thai curries, the Cambodian, or Khmer, red curry is milder and focuses on a richer, more aromatic coconut base. This is a celebratory dish, often served at weddings and family gatherings. It traditionally includes a mix of meat (chicken is common), eggplant, green beans, and potatoes, slow-cooked in a coconut milk-enriched curry. The spices are less intense, allowing the natural flavors of the ingredients to shine through. This curry reflects the gentle and sweet nature of Cambodian cuisine.","500g chicken, beef, or fish; 2 cups coconut milk; 2 tbsp red curry paste; 1 diced potato; 1 sliced carrot; 1/2 cup green beans; 1/2 eggplant, cubed; Fish sauce and sugar to taste","1. In a pot, heat a tablespoon of oil and fry the red curry paste until fragrant. | 2. Add the protein and cook until browned. | 3. Pour in coconut milk, bring to a simmer, and add vegetables. | 4. Cook until the vegetables are tender. | 5. Season with fish sauce and sugar. | Serving: Serve with bread or rice to soak up the delicious sauce."
4,Num Banh Chok (Khmer Noodles),"Known locally as Khmer noodles, Num Banh Chok is a dish often enjoyed for breakfast. It's a testament to Cambodia's love for aromatic herbs and spices, with rice noodles served under a fragrant fish-based green curry gravy made from lemongrass, kaffir lime leaves, and turmeric. The dish is then garnished with a host of fresh vegetables and herbs, making it a refreshing start to the day. Its popularity can be traced back to the rice fields, where such a hearty, nutritious meal provided the necessary energy for a day's labor.","400g rice noodles; 200g fish fillet; 2 cups coconut milk; Lemongrass, turmeric, garlic (for kroeung paste); Assorted vegetables (cucumber, banana blossom, bean sprouts); Mint and basil leaves","1. Blend lemongrass, turmeric, and garlic to make kroeung paste. | 2. Simmer fish in water until cooked, then remove and flake. | 3. Fry the kroeung paste, add coconut milk, and the flaked fish. | 4. Prepare rice noodles according to the package instructions. | 5. Place noodles in bowls, pour the fish gravy over, and top with fresh vegetables. | Serving: Garnish with mint and basil leaves for a refreshing touch."
5,Bok Lahong (Papaya Salad),"Bok Lahong, Cambodia's version of papaya salad, balances sweet, sour, salty, and spicy flavors. It's a crunchy and refreshing dish made from unripe papaya strands, pounded in a mortar with lime, chili, fish sauce, and palm sugar. The salad may include ingredients like tomato, string beans, and peanuts. Each mouthful offers a burst of freshness, emblematic of the Cambodian countryside, where many of these ingredients are sourced. Bok Lahong is often enjoyed as a light meal or an accompaniment to barbecued meats.","1 green papaya, shredded; 1 carrot, shredded; 2 tomatoes, cut into wedges; 2 tbsp fish sauce; 2 tbsp lime juice; 1 tbsp sugar; 2 cloves garlic, minced; 2 red chilies, sliced; Roasted peanuts for garnish","1. Combine the fish sauce, lime juice, sugar, garlic, and chilies in a bowl. | 2. Mix in the shredded papaya, carrot, and tomato wedges. | 3. Toss everything together until well combined. | Serving: Sprinkle with roasted peanuts and serve as a refreshing side dish or appetizer."
6,Samlor Machu,"This is a traditional Khmer sour soup that exhibits a tamarind-infused tanginess, a hallmark of Cambodian comfort food. It typically features fish as the main protein, alongside an assortment of vegetables such as tomatoes, pineapples, and sometimes rhubarb, which adds depth and brightness to the broth. It's a versatile dish that can incorporate whatever meat or vegetables are on hand, making it a staple in home cooking. Each family may have its own version, but the balance of sourness, sweetness, and saltiness is consistent.","200g fish fillets; 1 liter water or fish stock; 1/2 cup tamarind juice; 1 cup pineapple chunks; 2 tomatoes, quartered; 1 tbsp fish sauce; 1 tsp sugar; Green onion and cilantro for garnish","1. Bring water or fish stock to a boil and add the fish fillets. | 2. Once the fish is cooked, add tamarind juice, pineapple, and tomatoes. | 3. Season the soup with fish sauce and sugar, and simmer for a few minutes. | Serving: Garnish with chopped green onion and cilantro before serving."
7,Bai Sach Chrouk (Pork and Rice),"This simple yet beloved street food dish is a common breakfast in Cambodia, consisting of grilled pork slices that have been marinated in a mixture of coconut milk and garlic, imparting a rich, smoky flavor. The meat is thinly sliced, tender, and often slightly caramelized from the grilling process. It's served over a bed of steaming rice, often with a side of pickled vegetables and a bowl of chicken broth to complement the savory notes of the pork.","500g pork shoulder, thinly sliced; 1 cup coconut milk; 3 cloves garlic, minced; 2 tbsp soy sauce; 1 tbsp sugar; Cooked rice; Pickled vegetables","1. Marinate the pork slices in coconut milk, garlic, soy sauce, and sugar for at least an hour. | 2. Grill or pan-fry the pork until golden and cooked through. | 3. Serve over rice with pickled vegetables on the side. | Serving: Enjoy with a fried egg on top and a sprinkle of fried garlic for extra flavor."
8,Kuy Teav (Noodle Soup),"Kuy Teav is a comforting noodle soup that reflects the Chinese influence on Cambodian cuisine. It starts with a clear and flavorful pork bone broth, simmered for hours to extract the maximum flavor. Rice noodles are then added along with various toppings like minced pork, shrimp, and sometimes liver or intestine for the adventurous. The soup is garnished with fried garlic, cilantro, green onions, and bean sprouts, adding texture and fresh flavors. It can be found throughout the day but is most popular as a breakfast dish, believed to warm the body and soul.","400g rice noodles; 1 liter pork stock; 200g minced pork; 200g shrimp, peeled and deveined; Bean sprouts, green onion, and cilantro for garnish; Fish sauce, soy sauce, and sugar for seasoning; Garlic oil for drizzling","1. Prepare rice noodles according to package instructions and set aside. | 2. In a pot, bring pork stock to a boil and season with fish sauce, soy sauce, and sugar. | 3. In separate pans, cook the minced pork and shrimp until done. | 4. Assemble the bowls by placing noodles first, then ladling the hot broth over them, and topping with pork, shrimp, and bean sprouts. | Serving: Garnish with green onion, cilantro, and a drizzle of garlic oil. Serve with a side of lime wedges and chili sauce."
9,Cha Houy Teuk (Jelly Dessert),"This dessert captures the essence of Cambodian sweet treats — light and not overly sweet. Cha Houy Teuk is a playful and colorful jelly made from agar-agar, a seaweed derivative, often infused with pandan or jasmine for an aromatic note. It's served chilled with a splash of creamy coconut milk and a drizzle of palm sugar syrup. Sometimes, mung beans or taro can be added for extra texture. It's a common sight at street markets, often enjoyed as a cool reprieve from the tropical heat.",1 packet agar-agar powder; 4 cups water; 1 cup sugar; Food coloring (optional); 1 cup coconut milk; 1/2 cup palm sugar; Shaved ice (for serving),"1. Dissolve agar-agar powder in water and bring to a boil. Add sugar and stir until dissolved. | 2. Add food coloring if desired and pour the mixture into a mold. Let it set and cool. | 3. Once set, cut the jelly into cubes or diamonds. | 4. Prepare a syrup by dissolving palm sugar in a little water and heating it until thickened. | 5. Serve the jelly with coconut milk, palm sugar syrup, and shaved ice. | Serving: Serve cold as a sweet end to a meal or as a cooling treat on a hot day."
10,Nom Banh Chok (Cambodian Rice Cake),"Not to be confused with the noodle dish of the same name, this Nom Banh Chok is a sweet rice cake. Made from glutinous rice flour and coconut, these cakes are steamed and have a chewy, sticky texture. They are mildly sweetened, often hinting at the natural sweetness of the coconut, and then rolled in fresh, grated coconut for an added layer of flavor and texture. These cakes are a celebration food, marking important dates on the Cambodian calendar, and are enjoyed as a symbol of togetherness and joy.",2 cups glutinous rice flour; 1/2 cup sugar; 1/4 tsp salt; 1 cup water; 1/2 cup grated coconut for topping,"1. In a bowl, mix glutinous rice flour with sugar and salt. | 2. Gradually add water to form a dough. | 3. Roll the dough into small balls and flatten slightly to form cakes. | 4. Steam the cakes for about 15–20 minutes until cooked through. | 5. Once steamed, roll the cakes in grated coconut. | Serving: Serve as a sweet snack or dessert with a cup of tea or coffee."
